date,total_equity,Tranche_2x,Tranche_15x
2026-05-25,5000.0,3000.0,2000.0
2026-05-26,5000.0,3000.0,2000.0
2026-05-26,5000.0,3000.0,2000.0
2026-05-26,5000.0,3000.0,2000.0
2026-05-27,4994.37,2999.06,1995.31
2026-05-28,5000.2,3000.03,2000.17
2026-05-29,4999.93,2999.99,1999.94
2026-06-01,4991.16,2998.53,1992.63
2026-06-02,4983.63,2997.27,1986.36
2026-06-03,4984.38,2997.4,1986.98
2026-06-04,4992.87,2998.81,1994.06
2026-06-05,4954.91,2992.48,1962.42
2026-06-08,4954.54,2992.42,1962.12
2026-06-09,4941.15,2990.19,1950.96
