ind_a,ind_b,pair,total_return,n_trades,win_rate
rsi_14,roc_10,rsi_14+roc_10,0.004260404109841298,39,0.5641025641025641
roc_10,keltner_pct,roc_10+keltner_pct,0.0038396349512799244,10,0.8
cci_20,roc_10,cci_20+roc_10,0.002050818872831206,9,0.6666666666666666
rsi_14,ema_ratio,rsi_14+ema_ratio,0.00138143959684367,53,0.4716981132075472
bb_pct,roc_10,bb_pct+roc_10,0.0011244412211395272,7,0.7142857142857143
stoch_k,roc_10,stoch_k+roc_10,0.0009598261650034523,30,0.5333333333333333
bb_pct,macd_hist,bb_pct+macd_hist,0.0009374755614304231,37,0.43243243243243246
ema_ratio,keltner_pct,ema_ratio+keltner_pct,0.0004171393014043012,65,0.49230769230769234
stoch_k,macd_hist,stoch_k+macd_hist,0.0002730574607208158,65,0.47692307692307695
roc_30,aroon_osc,roc_30+aroon_osc,-0.00014628028323837583,58,0.46551724137931033
cci_20,macd_hist,cci_20+macd_hist,-0.00020710214152941386,37,0.40540540540540543
williams_r_14,macd_hist,williams_r_14+macd_hist,-0.0002757153201510265,46,0.41304347826086957
keltner_pct,trend_strength,keltner_pct+trend_strength,-0.0005103588395843905,33,0.48484848484848486
aroon_osc,trend_strength,aroon_osc+trend_strength,-0.000774901245598536,54,0.4074074074074074
williams_r_14,roc_10,williams_r_14+roc_10,-0.0009190876370112067,15,0.4
bb_pct,ema_ratio,bb_pct+ema_ratio,-0.001364698056435687,87,0.41379310344827586
macd_hist,keltner_pct,macd_hist+keltner_pct,-0.0015544039930590614,29,0.4482758620689655
cci_20,ret_6,cci_20+ret_6,-0.0016703409701681604,23,0.4782608695652174
ema_ratio,aroon_osc,ema_ratio+aroon_osc,-0.0017089604739779496,40,0.4
rsi_14,trend_strength,rsi_14+trend_strength,-0.001788622134466622,43,0.3953488372093023
roc_30,keltner_pct,roc_30+keltner_pct,-0.0020708217217795255,56,0.44642857142857145
rsi_14,sma_ratio,rsi_14+sma_ratio,-0.0021146339408830706,68,0.4411764705882353
cci_20,ema_ratio,cci_20+ema_ratio,-0.0021763208175487048,83,0.42168674698795183
bb_pct,trend_strength,bb_pct+trend_strength,-0.0021769935178060917,52,0.38461538461538464
williams_r_14,ema_ratio,williams_r_14+ema_ratio,-0.002363161734365571,99,0.4444444444444444
sma_ratio,aroon_osc,sma_ratio+aroon_osc,-0.002839321104831205,49,0.3877551020408163
rsi_14,macd_hist,rsi_14+macd_hist,-0.003108084918856391,43,0.37209302325581395
bb_pct,roc_30,bb_pct+roc_30,-0.003174693011730678,76,0.42105263157894735
bb_pct,ret_6,bb_pct+ret_6,-0.0034314074142075546,22,0.36363636363636365
rsi_14,roc_30,rsi_14+roc_30,-0.0035611996960895898,60,0.43333333333333335
ema_ratio,aroon_up,ema_ratio+aroon_up,-0.004016978703795027,85,0.4470588235294118
cci_20,trend_strength,cci_20+trend_strength,-0.004438453452955349,48,0.375
cci_20,roc_30,cci_20+roc_30,-0.004445399225770363,71,0.4507042253521127
williams_r_14,trend_strength,williams_r_14+trend_strength,-0.0046363582484828525,66,0.3939393939393939
cci_20,sma_ratio,cci_20+sma_ratio,-0.00482063347746442,95,0.42105263157894735
ret_6,keltner_pct,ret_6+keltner_pct,-0.004924237976387857,45,0.4
bb_pct,ret_3,bb_pct+ret_3,-0.004980931382643883,78,0.46153846153846156
williams_r_14,roc_30,williams_r_14+roc_30,-0.005414202093115716,95,0.4105263157894737
roc_30,aroon_up,roc_30+aroon_up,-0.005611958923294136,92,0.391304347826087
williams_r_14,sma_ratio,williams_r_14+sma_ratio,-0.006001075029546166,111,0.43243243243243246
bb_pct,sma_ratio,bb_pct+sma_ratio,-0.006344107254841247,99,0.40404040404040403
williams_r_14,ret_6,williams_r_14+ret_6,-0.006581243314807805,39,0.3333333333333333
stoch_k,ema_ratio,stoch_k+ema_ratio,-0.006882920415218541,104,0.40384615384615385
stoch_k,ret_6,stoch_k+ret_6,-0.006907743075053152,72,0.4583333333333333
aroon_up,trend_strength,aroon_up+trend_strength,-0.006946158156380777,97,0.3917525773195876
stoch_k,sma_ratio,stoch_k+sma_ratio,-0.0069754020873449285,114,0.41228070175438597
stoch_k,trend_strength,stoch_k+trend_strength,-0.007419448616887148,76,0.3684210526315789
stoch_k,roc_30,stoch_k+roc_30,-0.007963517620847682,100,0.39
cci_20,ret_3,cci_20+ret_3,-0.008022269229609913,98,0.4387755102040816
sma_ratio,keltner_pct,sma_ratio+keltner_pct,-0.008783571375313048,80,0.3875
macd_hist,aroon_up,macd_hist+aroon_up,-0.009089380497968813,134,0.39552238805970147
ret_3,adx_14,ret_3+adx_14,-0.009446495798040133,171,0.4093567251461988
